"adjudication_id","requirement_id","source_id","source_name","source_text","central_duty","supporting_duties","architectural_applicability","applicability_rationale","normalized_type_ids","evidence_ids","evidence_mechanisms","evidence_scope_limits","functional_performance","functional_performance_rationale","material_residuals","trace_final_verdict","adversarial_recommended_verdict","release_verdict","verdict_basis","confidence","recommendation","recommendation_rationale","attacks_executed","attacks_survived","attacks_failed","failed_attack_classes","challenge_id","challenge_resolution_status","challenge_resolution_rationale","human_review_complete","human_decision","human_rationale","exception_review_required","exception_reason","legal_compliance_determination","external_legal_authority_preserved","methodology_state","trace_method_version","adversarial_review_method_version","release_target"
"IADJ-022","EO14409-REQ-022","FED-EO-14409","Executive Order 14409","Prioritize enforcement of applicable Federal criminal laws against criminal AI-enabled computer access or damage","Prioritize enforcement of applicable Federal criminal laws against criminal AI-enabled computer access or damage","actor=Attorney General;actor_class=FEDERAL_OFFICIAL;private_company_effect=CRIMINAL_LAW_EXPOSURE_FOR_UNLAWFUL_ACTORS;collaboration_status=NOT_APPLICABLE","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","ENF-005","","","","NONE","Deterministic functional-performance state: NONE.","MATERIAL_ARCHITECTURAL_MECHANISM_ABSENT","GAP","GAP","GAP","R4_ADVERSARIAL_RECOMMENDATION","HIGH","UPHOLD","The provisional verdict survived all eight attacks.","8","8","0","","CHL-022","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","FALSE","","","FALSE","","NOT_ASSESSED","TRUE","R3C_R4_VALIDATED_CONSOLIDATION","05A-R3C-V5","05A-R4-V3","V1.0.0_PUBLIC_PROOF_REFERENCE"
"IADJ-023","EO14409-REQ-023","FED-EO-14409","Executive Order 14409","Preserve existing agency authority and OMB functions","Preserve existing agency authority and OMB functions","actor=Executive branch;actor_class=FEDERAL_AUTHORITY_BOUNDARY;private_company_effect=NONE_DIRECT;collaboration_status=NOT_APPLICABLE","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","AUTH-003","RA-EVD-010","ORGANIZATIONAL_AUTHORITY_BOUNDARY","Does not supply legal authority.","DIRECT","Deterministic functional-performance state: DIRECT.","NO_MATERIAL_ARCHITECTURAL_RESIDUAL;EXTERNAL_AUTHORITY_POLICY_AND_DEPLOYMENT_REMAIN","ADDRESSED","PARTIALLY_ADDRESSED","PARTIALLY_ADDRESSED","R4_ADVERSARIAL_RECOMMENDATION","HIGH","DOWNGRADE","One or more adversarial controls failed; consolidation must resolve or preserve the recommendation.","8","7","1","EVIDENCE_SCOPE","CHL-023","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","FALSE","","","FALSE","","NOT_ASSESSED","TRUE","R3C_R4_VALIDATED_CONSOLIDATION","05A-R3C-V5","05A-R4-V3","V1.0.0_PUBLIC_PROOF_REFERENCE"
"IADJ-024","EO14409-REQ-024","FED-EO-14409","Executive Order 14409","Implement the order consistently with applicable law and available appropriations","Implement the order consistently with applicable law and available appropriations","actor=Executive branch;actor_class=FEDERAL_IMPLEMENTATION_BOUNDARY;private_company_effect=NONE_DIRECT;collaboration_status=NOT_APPLICABLE","NON_ARCHITECTURAL","Deterministic applicability state: NON_ARCHITECTURAL.","AUTH-002;SCP-001","AAS-EVD-005;AAS-EVD-013;AAS-EVD-016;AAS-EVD-017;AAS-EVD-018;AAS-EVD-019;RA-EVD-009;RA-EVD-010;RA-EVD-014;RA-EVD-019;RA-EVD-020","ASSURANCE_LAYER_BOUNDARY;AUDIT_SCOPE_EXCLUSIONS;DOMAIN_RESPONSIBILITY_BOUNDARY;IMPLEMENTATION_VALIDATION_BOUNDARY;INFERENCE_BOUNDARY;INTEGRATION_BOUNDARY;ONE_WAY_INDEPENDENCE_BOUNDARY;ORGANIZATIONAL_AUTHORITY_BOUNDARY;SCOPE_FIXATION;SPECIFICATION_PRIMACY;TEMPORAL_CONFORMANCE_BOUNDARY","Adopting organization retains operational responsibility.;Cannot substitute for domain law.;Does not guarantee future conformance.;Does not replace policy, authority, or infrastructure.;Does not supply legal authority.;Independent deployments require separate validation.;Limits audit claims rather than runtime.;Not a complete procedural ethics standard.;Prohibits legal-certification interpretation.;Tool use alone does not prove valid audit.;Unscoped properties remain unevaluated.","DIRECT","Deterministic functional-performance state: DIRECT.","SOVEREIGN_OR_LEGAL_FUNCTION_EXTERNAL","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","R4_ADVERSARIAL_RECOMMENDATION","HIGH","UPHOLD","The provisional verdict survived all eight attacks.","8","8","0","","CHL-024","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","FALSE","","","FALSE","","NOT_ASSESSED","TRUE","R3C_R4_VALIDATED_CONSOLIDATION","05A-R3C-V5","05A-R4-V3","V1.0.0_PUBLIC_PROOF_REFERENCE"
"IADJ-025","EO14409-REQ-025","FED-EO-14409","Executive Order 14409","Recognize that the order creates no privately enforceable substantive or procedural right or benefit","Recognize that the order creates no privately enforceable substantive or procedural right or benefit","actor=All parties;actor_class=LEGAL_EFFECT_BOUNDARY;private_company_effect=NO_PRIVATE_ENFORCEMENT_RIGHT;collaboration_status=NOT_APPLICABLE","NON_ARCHITECTURAL","Whether an executive order creates a privately enforceable right or benefit is a legal-effect boundary determined by law and courts, not an architectural function.","SCP-004","","","Interpretation and enforcement of private rights remain within external legal authority.","NONE","Deterministic functional-performance state: NONE.","APPLICABILITY_REQUIRES_REVIEW","UNRESOLVED","UNRESOLVED","NOT_APPLICABLE","PASS_05A_R5B_EXPLICIT_APPLICABILITY_ADJUDICATION","LOW","RECLASSIFY","Whether an executive order creates a privately enforceable right or benefit is a legal-effect boundary determined by law and courts, not an architectural function.","8","7","1","APPLICABILITY","CHL-025","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","FALSE","","","FALSE","","NOT_ASSESSED","TRUE","PASS_05A_R5B_APPLICABILITY_ADJUDICATED","05A-R3C-V5","05A-R4-V3","V1.0.0_PUBLIC_PROOF_REFERENCE"
"IADJ-026","MN-HF1606-REQ-001","MN-HF-1606","Minnesota HF 1606 / Chapter 72","Must not allow a user to access, download, or use the service to nudify an image or video.","Must not allow a user to access, download, or use the service to nudify an image or video.","actor=Person owning or controlling a website, application, software, program, or other service;actor_class=PRIVATE_OR_PUBLIC_SERVICE_CONTROLLER;enforcement=Attorney General and private civil action;consequence=Civil remedies and civil penalty;exception=Subdivision 3","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","EXE-002;HUM-002;PRO-002","RA-EVD-003;RA-EVD-008","EXECUTION_DENIAL;GOVERNED_STAGE_SEPARATION","Does not assign statutory actors.;Does not define every domain prohibition.","PARTIAL","Deterministic functional-performance state: PARTIAL.","MATERIAL_ARCHITECTURAL_OR_IMPLEMENTATION_COMPONENT_REMAINS","PARTIALLY_ADDRESSED","PARTIALLY_ADDRESSED","PARTIALLY_ADDRESSED","R4_ADVERSARIAL_RECOMMENDATION","MEDIUM","UPHOLD","The provisional verdict survived all eight attacks.","8","8","0","","CHL-026","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","FALSE","","","FALSE","","NOT_ASSESSED","TRUE","R3C_R4_VALIDATED_CONSOLIDATION","05A-R3C-V5","05A-R4-V3","V1.0.0_PUBLIC_PROOF_REFERENCE"
"IADJ-027","MN-HF1606-REQ-002","MN-HF-1606","Minnesota HF 1606 / Chapter 72","Must not nudify an image or video on behalf of a user.","Must not nudify an image or video on behalf of a user.","actor=Person owning or controlling a website, application, software, program, or other service;actor_class=PRIVATE_OR_PUBLIC_SERVICE_CONTROLLER;enforcement=Attorney General and private civil action;consequence=Civil remedies and civil penalty;exception=Subdivision 3","ARCHITECTURAL","Preventing a covered service from performing prohibited nudification is an architecturally enforceable execution-denial requirement. No qualifying public ORYNTH evidence currently demonstrates nudification-specific detection, classification, or execution blocking.","HUM-002;PRO-001","","","Domain-specific content classification, prohibited-function detection, execution denial, exception handling, and implementation evidence are required.","NONE","Deterministic functional-performance state: NONE.","APPLICABILITY_REQUIRES_REVIEW","UNRESOLVED","UNRESOLVED","GAP","PASS_05A_R5B_EXPLICIT_APPLICABILITY_ADJUDICATION","LOW","RECLASSIFY","Preventing a covered service from performing prohibited nudification is an architecturally enforceable execution-denial requirement. No qualifying public ORYNTH evidence currently demonstrates nudification-specific detection, classification, or execution blocking.","8","7","1","APPLICABILITY","CHL-027","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","FALSE","","","FALSE","","NOT_ASSESSED","TRUE","PASS_05A_R5B_APPLICABILITY_ADJUDICATED","05A-R3C-V5","05A-R4-V3","V1.0.0_PUBLIC_PROOF_REFERENCE"
"IADJ-028","MN-HF1606-REQ-003","MN-HF-1606","Minnesota HF 1606 / Chapter 72","Must not advertise or promote a service that performs prohibited nudification actions.","Must not advertise or promote a service that performs prohibited nudification actions.","actor=Any person;actor_class=PERSON_OR_ENTITY;enforcement=Attorney General and private civil action where applicable;consequence=Civil remedies and civil penalty;exception=Subdivision 3","NON_ARCHITECTURAL","The prohibition on advertising or promoting a prohibited service regulates commercial and communicative conduct rather than the internal execution governance functions demonstrated by public ORYNTH artifacts.","PRO-003","","","Advertising review, marketing controls, platform moderation, and legal enforcement remain external organizational responsibilities.","NONE","Deterministic functional-performance state: NONE.","APPLICABILITY_REQUIRES_REVIEW","UNRESOLVED","UNRESOLVED","NOT_APPLICABLE","PASS_05A_R5B_EXPLICIT_APPLICABILITY_ADJUDICATION","LOW","RECLASSIFY","The prohibition on advertising or promoting a prohibited service regulates commercial and communicative conduct rather than the internal execution governance functions demonstrated by public ORYNTH artifacts.","8","7","1","APPLICABILITY","CHL-028","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","FALSE","","","FALSE","","NOT_ASSESSED","TRUE","PASS_05A_R5B_APPLICABILITY_ADJUDICATED","05A-R3C-V5","05A-R4-V3","V1.0.0_PUBLIC_PROOF_REFERENCE"
"IADJ-029","MN-HF1606-REQ-004","MN-HF-1606","Minnesota HF 1606 / Chapter 72","Subdivision 2 prohibitions do not apply when the service requires the technical skill of a user to nudify media.","Subdivision 2 prohibitions do not apply when the service requires the technical skill of a user to nudify media.","actor=Covered service provider;actor_class=EXEMPTED_ACTOR_CONDITION;enforcement=Not applicable when exemption is satisfied;consequence=;exception=","PARTIALLY_ARCHITECTURAL","ORYNTH provides scope fixation, assurance boundaries, exclusions, inference boundaries, and responsibility separation relevant to evaluating whether a condition falls outside a governed scope. It does not determine whether the statutory technical-skill exemption is legally satisfied.","SCP-001;SCP-003","AAS-EVD-005;AAS-EVD-013;AAS-EVD-016;AAS-EVD-018;RA-EVD-009;RA-EVD-010;RA-EVD-014;RA-EVD-019;RA-EVD-020","ASSURANCE_LAYER_BOUNDARY;AUDIT_SCOPE_EXCLUSIONS;DOMAIN_RESPONSIBILITY_BOUNDARY;IMPLEMENTATION_VALIDATION_BOUNDARY;INFERENCE_BOUNDARY;INTEGRATION_BOUNDARY;ORGANIZATIONAL_AUTHORITY_BOUNDARY;SCOPE_FIXATION;TEMPORAL_CONFORMANCE_BOUNDARY","The statutory meaning of technical skill, factual evidence of user activity, legal exception criteria, and authoritative exemption determination remain external.","PARTIAL","Deterministic functional-performance state: PARTIAL.","APPLICABILITY_REQUIRES_REVIEW","UNRESOLVED","UNRESOLVED","RELATED","PASS_05A_R5B_EXPLICIT_APPLICABILITY_ADJUDICATION","LOW","RECLASSIFY","ORYNTH provides scope fixation, assurance boundaries, exclusions, inference boundaries, and responsibility separation relevant to evaluating whether a condition falls outside a governed scope. It does not determine whether the statutory technical-skill exemption is legally satisfied.","8","7","1","APPLICABILITY","CHL-029","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","FALSE","","","FALSE","","NOT_ASSESSED","TRUE","PASS_05A_R5B_APPLICABILITY_ADJUDICATED","05A-R3C-V5","05A-R4-V3","V1.0.0_PUBLIC_PROOF_REFERENCE"
"IADJ-030","MN-HF1606-REQ-005","MN-HF-1606","Minnesota HF 1606 / Chapter 72","May be sued by an individual depicted in unlawfully nudified media.","May be sued by an individual depicted in unlawfully nudified media.","actor=Person violating section 325E.91;actor_class=CIVIL_DEFENDANT;enforcement=Depicted individual in district court;consequence=Compensatory damages, punitive damages, injunction, attorney fees, costs, disbursements, and equitable relief;exception=","NON_ARCHITECTURAL","The availability of a private civil action is a legal remedy and judicial process, not a function that ORYNTH architectural mechanisms can perform.","ENF-002;HUM-002","","","Standing, filing, adjudication, damages, injunctions, and judicial enforcement remain within external legal institutions.","NONE","Deterministic functional-performance state: NONE.","APPLICABILITY_REQUIRES_REVIEW","UNRESOLVED","UNRESOLVED","NOT_APPLICABLE","PASS_05A_R5B_EXPLICIT_APPLICABILITY_ADJUDICATION","LOW","RECLASSIFY","The availability of a private civil action is a legal remedy and judicial process, not a function that ORYNTH architectural mechanisms can perform.","8","7","1","APPLICABILITY","CHL-030","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","FALSE","","","FALSE","","NOT_ASSESSED","TRUE","PASS_05A_R5B_APPLICABILITY_ADJUDICATED","05A-R3C-V5","05A-R4-V3","V1.0.0_PUBLIC_PROOF_REFERENCE"
"IADJ-031","MN-HF1606-REQ-006","MN-HF-1606","Minnesota HF 1606 / Chapter 72","Subject to compensatory damages, including mental anguish or suffering, up to three times actual damages.","Subject to compensatory damages, including mental anguish or suffering, up to three times actual damages.","actor=Person violating section 325E.91;actor_class=CIVIL_DEFENDANT;enforcement=Depicted individual in district court;consequence=Up to three times actual damages;exception=","NON_ARCHITECTURAL","Compensatory and multiplied damages are legal consequences imposed through judicial authority rather than architectural system requirements.","ENF-004","","","Damage calculation, evidentiary findings, judicial discretion, and enforcement remain within external legal authority.","NONE","Deterministic functional-performance state: NONE.","APPLICABILITY_REQUIRES_REVIEW","UNRESOLVED","UNRESOLVED","NOT_APPLICABLE","PASS_05A_R5B_EXPLICIT_APPLICABILITY_ADJUDICATION","LOW","RECLASSIFY","Compensatory and multiplied damages are legal consequences imposed through judicial authority rather than architectural system requirements.","8","7","1","APPLICABILITY","CHL-031","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","FALSE","","","FALSE","","NOT_ASSESSED","TRUE","PASS_05A_R5B_APPLICABILITY_ADJUDICATED","05A-R3C-V5","05A-R4-V3","V1.0.0_PUBLIC_PROOF_REFERENCE"
"IADJ-032","MN-HF1606-REQ-007","MN-HF-1606","Minnesota HF 1606 / Chapter 72","Subject to enforcement by the Minnesota Attorney General under section 8.31.","Subject to enforcement by the Minnesota Attorney General under section 8.31.","actor=Person violating section 325E.91;actor_class=ENFORCEMENT_TARGET;enforcement=Minnesota Attorney General;consequence=Available statutory remedies and penalties;exception=","NON_ARCHITECTURAL","Deterministic applicability state: NON_ARCHITECTURAL.","ENF-001","","","","NONE","Deterministic functional-performance state: NONE.","SOVEREIGN_OR_LEGAL_FUNCTION_EXTERNAL","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","R4_ADVERSARIAL_RECOMMENDATION","HIGH","UPHOLD","The provisional verdict survived all eight attacks.","8","8","0","","CHL-032","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","FALSE","","","FALSE","","NOT_ASSESSED","TRUE","R3C_R4_VALIDATED_CONSOLIDATION","05A-R3C-V5","05A-R4-V3","V1.0.0_PUBLIC_PROOF_REFERENCE"
"IADJ-033","MN-HF1606-REQ-008","MN-HF-1606","Minnesota HF 1606 / Chapter 72","Subject to a civil penalty not exceeding $500,000 for each unlawful access, download, or use.","Subject to a civil penalty not exceeding $500,000 for each unlawful access, download, or use.","actor=Person violating section 325E.91;actor_class=ENFORCEMENT_TARGET;enforcement=Minnesota Attorney General;consequence=Civil penalty up to $500,000 per unlawful access, download, or use;exception=","ARCHITECTURAL","Deterministic applicability state: ARCHITECTURAL.","ENF-003","","","","NONE","Deterministic functional-performance state: NONE.","MATERIAL_ARCHITECTURAL_MECHANISM_ABSENT","GAP","GAP","GAP","R4_ADVERSARIAL_RECOMMENDATION","HIGH","UPHOLD","The provisional verdict survived all eight attacks.","8","8","0","","CHL-033","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","FALSE","","","FALSE","","NOT_ASSESSED","TRUE","R3C_R4_VALIDATED_CONSOLIDATION","05A-R3C-V5","05A-R4-V3","V1.0.0_PUBLIC_PROOF_REFERENCE"
"IADJ-034","MN-HF1606-REQ-009","MN-HF-1606","Minnesota HF 1606 / Chapter 72","Civil penalties must be deposited in the general fund and annually appropriated for victim-service grants.","Civil penalties must be deposited in the general fund and annually appropriated for victim-service grants.","actor=State government;actor_class=STATE_FINANCIAL_ADMINISTRATION;enforcement=State financial administration;consequence=Allocation to Office of Justice Programs grants;exception=","NON_ARCHITECTURAL","Deterministic applicability state: NON_ARCHITECTURAL.","GOV-003;HUM-002","","","","NONE","Deterministic functional-performance state: NONE.","SOVEREIGN_OR_LEGAL_FUNCTION_EXTERNAL","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","R4_ADVERSARIAL_RECOMMENDATION","HIGH","UPHOLD","The provisional verdict survived all eight attacks.","8","8","0","","CHL-034","PENDING_R5_CONSOLIDATION","R4 recommendation recorded; final resolution remains pending.","FALSE","","","FALSE","","NOT_ASSESSED","TRUE","R3C_R4_VALIDATED_CONSOLIDATION","05A-R3C-V5","05A-R4-V3","V1.0.0_PUBLIC_PROOF_REFERENCE"
